airfoil,pareto_rank,pareto_front,reynolds,best_ld,best_ld_alpha_deg,cl_objective,cl_max,cd_min
UIUC NACA2408,22,False,100000.0,3.968295252882588,12.0,0.06028658591214868,0.0660233667812695,0.016637715334641447
UIUC NACA2408,22,False,250000.0,4.835147694644156,12.0,0.06028658591214868,0.0660233667812695,0.013654881081378942
UIUC NACA2408,22,False,500000.0,5.561808145727644,12.0,0.06028658591214868,0.0660233667812695,0.011870845784564857
UIUC NACA2408,22,False,1000000.0,6.3517236160523005,12.0,0.06028658591214868,0.0660233667812695,0.010394559142090646
UIUC NACA2408,22,False,2000000.0,7.2068114137067365,12.0,0.06028658591214868,0.0660233667812695,0.009161245243034766
UIUC NACA0006,23,False,100000.0,3.003806065835527,12.0,0.046588023105610575,0.048184351135042984,0.016041099218447784
UIUC NACA0006,23,False,250000.0,3.6599711082063746,12.0,0.046588023105610575,0.048184351135042984,0.013165227186357892
UIUC NACA0006,23,False,500000.0,4.210017647506041,12.0,0.046588023105610575,0.048184351135042984,0.011445166070405135
UIUC NACA0006,23,False,1000000.0,4.807945152909008,12.0,0.046588023105610575,0.048184351135042984,0.010021817970591746
UIUC NACA0006,23,False,2000000.0,5.455204933176254,12.0,0.046588023105610575,0.048184351135042984,0.008832729792057141
